01_Ghost-versus-pie.rel "Ghost versus pie"
02_Cliff-hanger.rel "Cliff hanger"
03_The-matrix.rel "The matrix"
04_Tomb-raider.rel "Tomb raider"
05_Invader.rel "Invader"
06_UFO.rel "UFO"
07_Breakout.rel "Breakout"
08_Slot-machine.rel "Slot machine"
09_Asteroids.rel "Asteroids"
10_Forest.rel "Forest"
11_Dig-for-victory.rel "Dig for victory"
12_Keep.rel "Keep"
13_Traitor.rel "The traitor"
14_The-mothership.rel "The mothership"
15_Space-invaders.rel "Space invaders"
16_Meander.rel "Meander"
17_Tunnels.rel "Tunnels"
18_Tetris.rel "Tetris"
19_Galton-box.rel "Galton box"
20_Catch-me-if-you-can.rel "Catch me if you can"
