01_Block_drop_stop_shop.rel "Block drop stop shop"
02_You-wait-here-but-not-forever.rel "You wait here, but not forever"
03_Tree-tree-tree-again.rel "Tree, tree, tree again"
04_C-Red.rel "C Red"
05_Oh-we-do-like-to-be-beside-the-treeside.rel "Oh we do like to be beside the tree-side"
06_White-flag.rel "White flag"
07_Flagging.rel "Flagging"
08_Flagrant-disregard.rel "Flagrant disregard"
09_Badtet.rel "Badtet"
10_Upstairs.rel "Upstairs"
11_Slippery-slopes.rel "Slippery Slopes"
12_Alice-in-Painland.rel "Alice in Painland"
13_Carpal-tunnels.rel "Carpal tunnels"
14_Cups-of-suffering.rel "Cups of suffering"
15_Tomb-of-doom.rel "Tomb of Doom"
16_The-crazy-mother.rel "The crazy mother"
17_Minefield-mindfail.rel "Minefield Mind-fail"
18_Gotta-catch-em-all.rel "Gotta catch em all"
19_Three-down-one-to-go.rel "Three Down, one to go"
20_Keep-on-trying.rel "Keep On Trying"
